Sex,Weight (Sep),Weight (Apr),BMI (Sep),BMI (Apr),Weight diff
M,92,92,24.74,24.69,0
M,67,67,20.49,20.6,0
M,68,68,22.4,22.61,0
M,87,88,23.6,23.81,1
M,81,82,26.52,26.78,1
M,70,71,20.96,21.32,1
M,68,69,22.4,22.82,1
M,68,69,22.76,23.19,1
M,80,82,22.14,22.57,2
M,64,66,20.27,20.76,2
M,73,75,25.88,26.72,2
M,77,79,28.59,29.53,2
M,74,77,20.31,21.34,3
M,74,78,20.31,21.36,4
M,64,68,19.59,20.77,4
M,64,68,21.05,22.31,4
M,66,71,21.4,22.97,5
M,71,77,22.26,23.87,6
M,65,71,22.51,24.45,6
M,75,82,23.69,25.8,7
M,74,82,22.64,25.33,8
M,94,105,36.57,40.86,11
