Sell," ""List"""," ""Living"""," ""Rooms"""," ""Beds"""," ""Baths"""," ""Age"""," ""Acres"""," ""Taxes""",> 180 and < 3500
175, 180, 18,  8, 4, 1,  12, 0.43,  4033,No
232, 240, 25,  8, 4, 3,   5, 2.05,  3613,No
150, 160, 20,  8, 4, 3,  18, 4.00,  3131,No
207, 225, 22,  8, 4, 2,  16, 2.22,  5158,No
153, 157, 22,  8, 3, 3,  18, 0.38,  4127,No
234, 238, 25,  8, 4, 2,   2, 1.61,  2087,Yes
106, 116, 20,  8, 4, 1,  13, 0.22,  2818,No
175, 180, 22,  8, 4, 2,  15, 2.06,  3917,No
165, 170, 17,  8, 4, 2,  33, 0.46,  2220,No
151, 153, 19,  8, 4, 2,  24, 0.34,  3561,No
293, 305, 26,  8, 4, 3,   6, 0.46,  7088,No
157, 165, 20,  8, 4, 2,   7, 0.30,  3785,No
110, 115, 16,  8, 4, 1,  26, 0.29,  3103,No
180, 185, 20,  8, 4, 2,  11, 1.00,  3831,No
152, 155, 17,  8, 4, 1,  33, 0.70,  3361,No
127, 130, 20,  8, 4, 1,  65, 0.40,  3334,No
157, 163, 18,  8, 4, 2,  12, 1.13,  3982,No
110, 120, 15,  8, 4, 2,  11, 0.59,  3119,No
123, 130, 18,  8, 4, 2,  43, 0.39,  3268,No
145, 145, 18,  8, 4, 2,  44, 0.22,  2783,No
111, 120, 15,  8, 3, 1,  97, 1.11,  3205,No
count homes with rooms > 8,total value,average value
21,3488524.0,166120.19047619047
